SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
US-Me4,Metolius-old aged ponderosa pine,44.4992,-121.6224,922,ENF,7.61,1039
US-Me5,Metolius-first young aged pine,44.4372,-121.5668,1188,ENF,6.47,591
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998,ENF,7.59,494
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,275,DBF,10.85,1032
US-Myb,Mayberry Wetland,38.0498,-121.7651,-1,WET,15.9,338
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,361,CRO,10.07,790
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,362,CRO,10.08,789
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,363,CRO,10.11,784
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,ENF,1.5,800
US-Oho,Oak Openings,41.5545,-83.8438,230,DBF,10.1,849
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,221,WET,11.63,1499
US-PFa,Park Falls/WLEF,45.9459,-90.2723,470,MF,4.33,823
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,210,ENF,-2,275
US-SRC,Santa Rita Creosote,31.9083,-110.8395,991,OSH,,
US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291,GRA,17,420
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,1120,WSA,17.92,380
US-Sta,Saratoga,41.3966,-106.8024,2069,OSH,5.1,
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,540,MF,3.81,826
US-Ton,Tonzi Ranch,38.4316,-120.966,177,WSA,15.8,559
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,-9,WET,15.5,421
US-Tw2,Twitchell Corn,38.1047,-121.6433,-5,CRO,15.5,421
US-Tw3,Twitchell Alfalfa,38.1159,-121.6467,-9,CRO,15.6,421
US-Tw4,Twitchell East End Wetland,38.103,-121.6414,-5,WET,15.6,421
