site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CA-NS1,55.8792,-98.4839,caraib,210.9436238,187.3025157,211.3411538,210.5247372,211.6683239,203.0018887,211.7527023,191.5216814,204.9212056,224.0329806,238.2259132,247.4806535,254.5152457,230.3859029,208.1031697,224.2264199,249.9058861,257.9556803,233.5845365,235.2997496,253.6144543,211.0620176,230.1137609,217.6807317,246.776291,241.5686294,243.0450479,255.5721277,251.2675903,262.1598319,267.3664939,264.99028,255.0845423,223.5660796,259.2019844,248.8286718,219.6397415,237.6226124,240.5777867,245.2188271
CA-NS2,55.9058,-98.5247,caraib,218.5001552,191.1038042,216.016889,213.2704696,218.1162912,214.9289941,228.1417523,208.4263328,217.6633913,242.4794272,247.4539657,256.7857458,264.2328907,242.9756687,222.0026138,239.3678348,266.7888659,268.8692601,243.8991489,242.3466874,262.7728121,222.0669836,242.66219,233.5712021,262.5933828,256.3024958,257.2809985,266.4490277,264.6574404,276.8096601,277.2282125,268.5864506,261.001238,232.4973149,276.9930875,262.6880975,235.4855148,250.5462186,251.4099973,261.9763955
CA-NS3,55.9117,-98.3822,caraib,210.9436238,187.3025157,211.3411538,210.5247372,211.6683239,203.0018887,211.7527023,191.5216814,204.9212056,224.0329806,238.2259132,247.4806535,254.5152457,230.3859029,208.1031697,224.2264199,249.9058861,257.9556803,233.5845365,235.2997496,253.6144543,211.0620176,230.1137609,217.6807317,246.776291,241.5686294,243.0450479,255.5721277,251.2675903,262.1598319,267.3664939,264.99028,255.0845423,223.5660796,259.2019844,248.8286718,219.6397415,237.6226124,240.5777867,245.2188271
CA-NS4,55.9117,-98.3822,caraib,210.9436238,187.3025157,211.3411538,210.5247372,211.6683239,203.0018887,211.7527023,191.5216814,204.9212056,224.0329806,238.2259132,247.4806535,254.5152457,230.3859029,208.1031697,224.2264199,249.9058861,257.9556803,233.5845365,235.2997496,253.6144543,211.0620176,230.1137609,217.6807317,246.776291,241.5686294,243.0450479,255.5721277,251.2675903,262.1598319,267.3664939,264.99028,255.0845423,223.5660796,259.2019844,248.8286718,219.6397415,237.6226124,240.5777867,245.2188271
CA-NS5,55.8631,-98.485,caraib,210.9436238,187.3025157,211.3411538,210.5247372,211.6683239,203.0018887,211.7527023,191.5216814,204.9212056,224.0329806,238.2259132,247.4806535,254.5152457,230.3859029,208.1031697,224.2264199,249.9058861,257.9556803,233.5845365,235.2997496,253.6144543,211.0620176,230.1137609,217.6807317,246.776291,241.5686294,243.0450479,255.5721277,251.2675903,262.1598319,267.3664939,264.99028,255.0845423,223.5660796,259.2019844,248.8286718,219.6397415,237.6226124,240.5777867,245.2188271
CA-NS6,55.9167,-98.9644,caraib,218.5001552,191.1038042,216.016889,213.2704696,218.1162912,214.9289941,228.1417523,208.4263328,217.6633913,242.4794272,247.4539657,256.7857458,264.2328907,242.9756687,222.0026138,239.3678348,266.7888659,268.8692601,243.8991489,242.3466874,262.7728121,222.0669836,242.66219,233.5712021,262.5933828,256.3024958,257.2809985,266.4490277,264.6574404,276.8096601,277.2282125,268.5864506,261.001238,232.4973149,276.9930875,262.6880975,235.4855148,250.5462186,251.4099973,261.9763955
CA-NS7,56.6358,-99.9483,caraib,191.7371207,157.3198432,182.3059624,172.5252953,185.5499546,191.2412052,193.8285284,177.3410892,179.1746929,209.459531,198.1017158,198.2614618,217.9928929,194.8046949,185.6810269,207.8573747,205.379768,233.5011614,219.8868629,207.0556268,242.8289381,194.6292682,196.148386,193.1731912,208.7391599,221.4373243,220.9400719,221.1645185,243.6747038,244.66487,243.8021012,244.6165134,236.6654475,217.459283,268.9466391,218.9733965,205.1106371,236.7815072,239.8487441,235.7259727
CA-Qfo,49.6925,-74.3421,caraib,220.0035898,198.4015361,219.7267832,198.8927878,211.8210678,216.8156233,203.6819016,239.7990548,215.4686019,231.4367736,205.8333365,244.2116446,221.4760093,213.557626,243.1567715,246.9146943,244.012213,261.7566288,260.701749,223.3189532,219.4869889,231.9440369,250.2093804,246.7912955,223.4336827,232.4753075,258.6803877,230.8674829,249.7428114,260.0647542,230.5719961,246.4694675,265.9601089,250.0506307,223.1678793,222.8623895,252.3084593,240.0388453,244.2449971,238.0341458
CA-SF1,54.485,-105.8176,caraib,305.3806167,285.9466702,380.6097801,358.1913084,355.3398509,339.1862435,430.9675427,432.3022401,452.6770009,414.3950747,422.1036857,431.1843252,406.6631181,442.5184589,378.7685086,377.7846666,438.2999695,443.1121052,426.268149,410.5661182,443.9725433,431.6669117,488.3439066,496.7725675,463.8783997,484.5723188,478.2800944,514.1834693,523.5425913,496.7192068,421.0518067,496.5271101,438.7335296,443.9208547,456.7971004,481.320978,465.1890652,417.5620237,461.7836581,496.6918449
CA-SF2,54.2539,-105.8775,caraib,305.3806167,285.9466702,380.6097801,358.1913084,355.3398509,339.1862435,430.9675427,432.3022401,452.6770009,414.3950747,422.1036857,431.1843252,406.6631181,442.5184589,378.7685086,377.7846666,438.2999695,443.1121052,426.268149,410.5661182,443.9725433,431.6669117,488.3439066,496.7725675,463.8783997,484.5723188,478.2800944,514.1834693,523.5425913,496.7192068,421.0518067,496.5271101,438.7335296,443.9208547,456.7971004,481.320978,465.1890652,417.5620237,461.7836581,496.6918449
